"DATE_ID","FULL_DATE","DAY_OF_WEEK","WEEK_OF_YEAR","MONTH","QUARTER","YEAR","IS_WEEKEND","IS_HOLIDAY"
20250101,"01/01/2025","Wednesday",1,"January","Q1",2025,0,1
20250102,"02/01/2025","Thursday",1,"January","Q1",2025,0,0
20250103,"03/01/2025","Friday",1,"January","Q1",2025,0,0
20250104,"04/01/2025","Saturday",1,"January","Q1",2025,1,0
20250105,"05/01/2025","Sunday",1,"January","Q1",2025,1,0
20250106,"06/01/2025","Monday",2,"January","Q1",2025,0,0
20250107,"07/01/2025","Tuesday",2,"January","Q1",2025,0,0
20250108,"08/01/2025","Wednesday",2,"January","Q1",2025,0,0
20250109,"09/01/2025","Thursday",2,"January","Q1",2025,0,0
20250110,"10/01/2025","Friday",2,"January","Q1",2025,0,0
20250111,"11/01/2025","Saturday",2,"January","Q1",2025,1,0
20250112,"12/01/2025","Sunday",2,"January","Q1",2025,1,0
20250113,"13/01/2025","Monday",3,"January","Q1",2025,0,0
20250114,"14/01/2025","Tuesday",3,"January","Q1",2025,0,0
20250115,"15/01/2025","Wednesday",3,"January","Q1",2025,0,0
